frame,t,dominant_elbow_angle_deg,dominant_wrist_speed_ms,dominant_wrist_height_m,left_knee_angle_deg,right_knee_angle_deg,trunk_lean_deg,hip_shoulder_separation_m,feet_separation_m
0,0.0000,103.0103,,-0.1942,165.9144,166.8881,5.3780,0.4679,0.3227
1,0.0400,99.9067,0.3037,-0.2025,168.1256,164.7470,4.4327,0.4704,0.3000
2,0.0800,99.8528,0.1545,-0.2031,167.4206,164.7012,5.6325,0.4704,0.3159
3,0.1200,100.0149,0.1880,-0.2059,170.8680,167.4591,4.7634,0.4685,0.3019
4,0.1600,99.7711,0.2612,-0.2020,175.1377,163.7417,5.0287,0.4675,0.3032
5,0.2000,103.2473,0.1402,-0.1989,173.0629,162.4258,4.6708,0.4733,0.3084
6,0.2400,98.7038,0.2791,-0.2081,174.9178,163.1846,5.2384,0.4693,0.2914
7,0.2800,102.0379,0.1802,-0.2127,173.5932,161.8850,3.4646,0.4719,0.2652
8,0.3200,98.2494,0.5281,-0.2195,171.5757,164.5678,3.8273,0.4759,0.2589
9,0.3600,97.5411,0.2530,-0.2174,170.6059,162.0024,4.1865,0.4798,0.2350
10,0.4000,97.6434,0.5250,-0.2147,171.3537,154.2138,6.6927,0.4729,0.2744
11,0.4400,97.6592,0.5073,-0.2190,167.9441,145.1391,7.2368,0.4691,0.3027
12,0.4800,94.8111,0.3637,-0.2321,171.7673,149.8755,5.1774,0.4769,0.2549
13,0.5200,92.6643,0.7136,-0.2413,167.2610,138.6962,6.0676,0.4733,0.3048
14,0.5600,95.4281,0.0739,-0.2269,168.5403,140.7512,5.4633,0.4765,0.3064
15,0.6000,93.8203,0.9030,-0.2458,166.4069,141.5876,4.5788,0.4825,0.2909
16,0.6400,88.7911,0.3410,-0.2335,169.9831,146.2846,5.8177,0.4730,0.2131
17,0.6800,92.4190,0.6167,-0.2550,171.6293,146.1167,4.9621,0.4659,0.2685
18,0.7200,89.6883,0.9833,-0.2484,167.5916,140.3577,5.4698,0.4668,0.3045
19,0.7600,85.1287,1.2190,-0.2685,168.8233,140.5890,5.4555,0.4783,0.2400
20,0.8000,85.6241,0.6578,-0.2752,171.3392,144.8950,4.3450,0.4661,0.3670
21,0.8400,86.4417,0.4420,-0.2940,158.3135,149.1132,4.1527,0.4765,0.3310
22,0.8800,89.3009,0.9195,-0.3104,143.9045,152.5888,4.9036,0.4840,0.4145
23,0.9200,85.2958,1.3820,-0.3218,139.3294,152.2080,7.3401,0.4812,0.4858
24,0.9600,82.6119,1.2698,-0.3345,109.7388,156.9498,6.7889,0.4900,0.3230
25,1.0000,82.0328,2.5225,-0.3575,122.6547,155.1629,5.1613,0.4968,0.4192
26,1.0400,86.4985,2.9218,-0.3704,125.2699,150.0593,10.2776,0.5054,0.5595
27,1.0800,96.6848,1.1157,-0.3834,127.3165,155.4145,5.5529,0.4992,0.4786
28,1.1200,101.1553,0.5131,-0.3778,133.6189,150.6328,6.1722,0.5029,0.5521
29,1.1600,89.8354,1.5256,-0.3754,134.0458,142.9771,2.4462,0.4948,0.5307
30,1.2000,85.4602,0.9306,-0.4151,132.4703,132.5186,3.6420,0.5048,0.4489
31,1.2400,86.8617,0.6885,-0.4052,145.2712,119.4250,7.6511,0.5031,0.4538
32,1.2800,86.3274,1.6129,-0.4566,147.6528,118.3255,5.2350,0.5233,0.3021
33,1.3200,92.5583,2.0063,-0.4946,137.9470,119.6910,3.7087,0.5450,0.2510
34,1.3600,102.9262,0.8586,-0.4477,129.4917,117.4033,4.1729,0.5182,0.1659
35,1.4000,92.2503,0.5284,-0.4274,129.2469,124.5734,5.5534,0.5234,0.1638
36,1.4400,94.8141,1.6541,-0.4425,133.8694,120.6520,4.4429,0.5172,0.1528
37,1.4800,114.2133,0.4131,-0.4222,120.2960,122.5706,3.8710,0.5140,0.2896
38,1.5200,109.2522,1.7719,-0.4130,141.2329,113.3982,11.4241,0.5096,0.3218
39,1.5600,102.0491,1.2153,-0.3164,134.5324,114.9329,18.7110,0.4388,0.3442
40,1.6000,113.6691,1.9608,-0.3707,135.1687,119.8087,2.2654,0.5164,0.2720
41,1.6400,118.9315,1.9309,-0.2983,123.5457,123.9353,32.1394,0.4090,0.1268
42,1.6800,109.4218,3.6209,-0.2910,136.5122,109.1311,17.0006,0.4593,0.2295
43,1.7200,99.5580,3.5039,-0.2878,121.2179,99.3861,15.0460,0.4757,0.1972
44,1.7600,105.7891,2.3726,-0.1813,139.6825,121.7362,25.8804,0.4689,0.2670
45,1.8000,103.3029,4.2286,-0.1330,125.0314,112.4529,31.3416,0.4399,0.3289
46,1.8400,105.2618,2.1163,-0.0848,122.7139,90.4051,41.0450,0.3556,0.2458
47,1.8800,110.1857,3.2247,-0.0999,151.3215,133.1316,38.9604,0.3740,0.7638
48,1.9200,115.3588,5.7104,-0.1911,153.3545,112.0540,38.5842,0.4033,0.2824
49,1.9600,109.3186,5.2985,-0.2545,154.5501,130.1266,40.2954,0.4037,0.1306
50,2.0000,98.8882,8.7485,-0.4272,150.4364,131.8875,17.4514,0.4883,0.1992
51,2.0400,47.3779,6.6183,-0.4954,159.7493,150.4648,35.6838,0.4119,0.3276
52,2.0800,54.4016,4.8911,-0.6054,164.5585,161.5583,34.4427,0.4186,0.2125
53,2.1200,96.9492,5.0042,-0.7681,158.1260,159.0096,27.9171,0.4373,0.2005
54,2.1600,127.6315,2.9592,-0.8888,157.2004,167.0142,29.9635,0.4092,0.2713
55,2.2000,134.0137,2.4285,-0.9527,176.6160,158.5247,38.5615,0.3574,0.4107
56,2.2400,118.4201,7.1722,-0.7160,159.8785,168.6126,35.6836,0.3834,0.3751
57,2.2800,75.0916,7.6530,-0.4719,165.9967,166.4447,39.2724,0.3503,0.5691
58,2.3200,113.1814,3.7701,-0.1321,169.8025,169.3423,35.7402,0.3840,0.5699
59,2.3600,87.3837,5.2877,-0.1814,167.0051,155.4709,38.2797,0.3712,0.5440
60,2.4000,95.5744,5.1930,-0.0686,163.5438,87.5313,44.4939,0.3377,0.5258
61,2.4400,115.1171,2.6382,0.0721,170.6614,86.7432,62.9700,0.2142,0.4338
62,2.4800,127.5584,1.5277,0.1348,175.3808,78.7636,57.0476,0.2420,0.4090
63,2.5200,121.5728,2.9794,0.0698,74.3584,177.0094,59.1745,0.2511,0.2306
64,2.5600,101.6760,4.2487,0.1055,90.1911,168.0411,72.6762,0.1389,0.1239
65,2.6000,141.3287,4.0018,-0.1656,165.1696,110.4522,39.4926,0.3992,0.2723
66,2.6400,137.9396,2.7905,-0.1885,165.6453,139.4021,27.1003,0.4578,0.2939
67,2.6800,137.5620,1.8136,-0.1651,162.4134,146.5875,26.8695,0.4579,0.2761
68,2.7200,141.8401,0.2153,-0.0583,160.2401,147.6199,37.8595,0.3919,0.1899
69,2.7600,128.2523,2.5282,-0.1725,160.9071,162.8872,29.7622,0.4425,0.2060
70,2.8000,138.6220,1.5086,-0.1644,159.9392,156.6068,32.0645,0.4163,0.2470
71,2.8400,139.6900,4.6299,-0.1485,168.1046,159.4837,32.3414,0.4224,0.2773
72,2.8800,117.1317,1.9974,-0.2008,173.3384,104.6189,14.3469,0.4688,0.2163
73,2.9200,116.3431,3.1490,-0.1857,170.0060,172.5390,6.8226,0.4869,0.4405
74,2.9600,123.4215,,-0.1684,163.8585,166.2783,1.5494,0.4824,0.5586
