frame,det_idx,x1,y1,x2,y2,cx,cy,conf
0,0,1522.4,586.7,1593.8,650.1,1558.1,618.4,0.858
0,1,1048.9,448.5,1064.6,471.0,1056.8,459.7,0.296
0,2,424.9,439.3,599.3,502.0,512.1,470.6,0.144
1,0,1523.7,585.0,1595.2,645.7,1559.4,615.4,0.878
1,1,1846.8,589.8,1889.4,644.3,1868.1,617.1,0.574
1,2,1048.9,459.4,1063.8,476.9,1056.3,468.2,0.534
1,3,424.1,438.5,598.2,502.8,511.1,470.7,0.185
2,0,1526.3,584.1,1597.0,641.9,1561.7,613.0,0.875
2,1,1840.9,588.5,1883.7,643.9,1862.3,616.2,0.654
2,2,1047.7,465.7,1062.2,483.5,1055.0,474.6,0.615
2,3,422.6,439.6,583.9,504.0,503.2,471.8,0.273
3,0,1530.5,583.8,1599.5,641.1,1565.0,612.4,0.856
3,1,1046.2,472.5,1059.9,488.3,1053.0,480.4,0.586
3,2,1834.6,587.9,1878.0,642.7,1856.3,615.3,0.237
3,3,1840.3,603.7,1877.7,642.6,1859.0,623.2,0.152
3,4,420.3,442.4,586.4,511.5,503.4,477.0,0.126
4,0,1535.0,584.3,1603.0,640.5,1569.0,612.4,0.857
4,1,1042.9,479.7,1055.9,495.7,1049.4,487.7,0.627
4,2,1828.4,587.3,1870.9,641.7,1849.6,614.5,0.456
5,0,1542.7,584.2,1608.0,642.8,1575.3,613.5,0.855
5,1,1825.6,586.4,1867.1,640.8,1846.3,613.6,0.781
5,2,1039.7,483.8,1054.4,497.5,1047.1,490.7,0.515
6,0,1823.3,586.3,1865.8,641.0,1844.6,613.7,0.578
6,1,1039.2,484.6,1055.9,498.9,1047.6,491.8,0.432
6,2,711.2,450.8,747.1,533.4,729.2,492.1,0.237
6,3,1552.5,584.8,1615.6,646.8,1584.0,615.8,0.210
6,4,757.6,517.4,798.0,536.5,777.8,526.9,0.109
7,0,1032.7,481.3,1056.4,496.7,1044.6,489.0,0.688
7,1,711.7,449.5,749.1,531.5,730.4,490.5,0.564
7,2,1822.8,588.4,1864.0,642.2,1843.4,615.3,0.537
7,3,1562.6,586.5,1623.5,653.4,1593.0,619.9,0.319
8,0,1571.3,589.5,1631.2,658.7,1601.2,624.1,0.811
8,1,709.4,448.4,751.2,529.8,730.3,489.1,0.761
8,2,1030.1,477.2,1048.6,491.3,1039.3,484.3,0.607
8,3,1822.2,588.5,1863.0,642.7,1842.6,615.6,0.303
