frame,t,dominant_elbow_angle_deg,dominant_wrist_speed_ms,dominant_wrist_height_m,left_knee_angle_deg,right_knee_angle_deg,trunk_lean_deg,hip_shoulder_separation_m,feet_separation_m
0,0.0000,,,,,,,,
1,0.0400,,,,,,,,
2,0.0800,,,,,,,,
3,0.1200,,,,,,,,
4,0.1600,,,,,,,,
5,0.2000,82.5518,,-0.3277,164.0366,140.1864,8.6703,0.4983,0.3316
6,0.2400,81.7136,0.5975,-0.3376,164.0054,138.6489,6.3390,0.5019,0.2888
7,0.2800,84.7843,0.5266,-0.3121,163.9469,145.3168,6.1386,0.4980,0.2785
8,0.3200,92.4824,0.2728,-0.3208,161.2626,148.4185,6.1192,0.4915,0.2629
9,0.3600,93.8231,1.0878,-0.3055,162.8486,150.3314,7.4158,0.4929,0.2873
10,0.4000,98.6485,0.8008,-0.2514,148.7624,149.9290,12.5063,0.4665,0.2792
11,0.4400,95.4391,2.8107,-0.2849,154.7930,143.8265,13.0732,0.4851,0.2560
12,0.4800,108.5683,1.3305,-0.2303,151.0061,145.4004,13.2710,0.4697,0.2674
13,0.5200,99.7183,1.4047,-0.2615,147.7297,139.1888,13.8264,0.4758,0.3336
14,0.5600,91.1198,1.7464,-0.2928,147.5474,137.9983,16.0043,0.4776,0.4282
15,0.6000,87.6982,1.0949,-0.3089,151.1526,139.5630,14.7400,0.4610,0.6402
16,0.6400,91.3572,0.9623,-0.3031,142.6688,147.4688,14.9750,0.4677,0.5749
17,0.6800,105.6620,0.5435,-0.2648,151.8901,154.2163,10.2308,0.4592,0.7471
18,0.7200,94.5402,1.4541,-0.3026,134.2682,149.6552,17.5536,0.4618,0.6386
19,0.7600,98.6090,2.4475,-0.3015,119.1479,147.2756,12.5065,0.4682,0.5763
20,0.8000,119.5493,0.6316,-0.2911,100.5237,144.2302,5.9252,0.4839,0.5212
21,0.8400,97.8676,1.5009,-0.3138,92.9646,140.5897,15.3428,0.4746,0.5628
22,0.8800,104.9017,0.7859,-0.3261,90.0070,133.7290,15.2157,0.4797,0.5738
23,0.9200,110.4914,0.7041,-0.3318,98.1457,138.3788,12.0790,0.4799,0.6099
24,0.9600,104.9735,1.2474,-0.3259,102.0223,143.8495,11.9233,0.4774,0.5989
25,1.0000,106.5770,0.7005,-0.3670,137.0265,152.0698,8.1269,0.4966,0.6650
26,1.0400,106.3341,1.0017,-0.3683,129.0502,148.3784,8.4385,0.4921,0.6142
27,1.0800,106.1089,1.8768,-0.3971,127.7948,133.5780,6.1945,0.5102,0.5392
28,1.1200,106.8124,2.0338,-0.4025,128.0064,126.7688,11.9779,0.5024,0.3515
29,1.1600,107.1981,2.4116,-0.4568,139.9399,108.1800,7.6253,0.5221,0.3160
30,1.2000,122.7382,1.0937,-0.4248,125.7558,107.1056,6.5864,0.5151,0.2908
31,1.2400,115.2562,1.0648,-0.4659,128.3213,111.7981,16.0887,0.5080,0.2710
32,1.2800,113.4486,1.9305,-0.4775,125.9312,114.4445,6.3027,0.5296,0.3918
33,1.3200,116.0937,1.3182,-0.4986,115.1210,114.6081,2.6803,0.5409,0.4422
34,1.3600,118.6281,1.2566,-0.5109,101.2796,103.8804,3.7453,0.5446,0.3745
35,1.4000,112.6621,1.2613,-0.4927,107.4920,107.9238,6.8153,0.5419,0.3603
36,1.4400,118.3714,1.0878,-0.5279,123.6441,115.0905,8.1679,0.5516,0.4669
37,1.4800,113.7861,1.5118,-0.5107,126.1039,117.1357,9.3023,0.5338,0.3508
38,1.5200,112.1946,1.5522,-0.4829,121.3138,111.8051,11.8402,0.5268,0.2975
39,1.5600,97.2661,1.7050,-0.4564,122.1838,113.4093,12.9398,0.5133,0.3453
40,1.6000,98.5513,2.1663,-0.4457,122.5623,109.9256,14.9646,0.5108,0.3444
41,1.6400,101.3476,2.2543,-0.3996,122.3895,112.8538,18.9704,0.4929,0.3015
42,1.6800,111.5915,1.9854,-0.3985,121.1113,112.5597,23.7365,0.4808,0.2945
43,1.7200,120.8072,1.8968,-0.4278,132.2950,122.2039,20.5228,0.5116,0.3265
44,1.7600,116.6927,1.4171,-0.4413,143.7512,123.9639,21.1393,0.5087,0.3641
45,1.8000,130.0185,1.4237,-0.4739,144.9465,135.2855,25.1261,0.5004,0.3924
46,1.8400,114.3128,9.1989,-0.5221,145.5350,139.0497,28.3414,0.4645,0.4007
47,1.8800,79.7840,9.6212,-0.6710,132.5106,139.6303,30.1915,0.4220,0.3907
48,1.9200,101.5454,5.2292,-0.7285,143.4276,125.8916,33.7858,0.3876,0.3412
49,1.9600,128.6452,3.8703,-0.8410,148.1559,105.2656,37.2153,0.3882,0.2650
50,2.0000,131.5924,5.1101,-0.7634,142.9126,92.6646,42.2794,0.3590,0.1955
51,2.0400,81.0362,6.5006,-0.4542,153.3999,73.6996,40.1746,0.3614,0.1971
52,2.0800,146.1330,4.9411,-0.2998,149.0821,116.1278,40.0033,0.3541,0.4087
53,2.1200,155.8941,5.0450,-0.2418,153.1538,130.3285,42.4135,0.3381,0.5624
54,2.1600,115.3548,4.5623,0.0475,156.3326,149.6069,63.6860,0.1094,0.4582
55,2.2000,130.5482,3.8858,-0.0466,162.6684,144.6511,64.4196,0.1659,0.4114
