frame,det_idx,x1,y1,x2,y2,cx,cy,conf
0,0,605.8,581.9,670.1,664.4,638.0,623.2,0.865
0,1,1638.4,541.5,1671.6,587.4,1655.0,564.5,0.775
0,2,1272.4,569.4,1333.3,627.8,1302.8,598.6,0.600
0,3,976.9,456.6,995.1,471.3,986.0,464.0,0.556
0,4,1272.2,552.9,1349.0,628.0,1310.6,590.5,0.282
1,0,613.3,580.5,678.6,662.3,646.0,621.4,0.877
1,1,1270.2,570.0,1332.8,631.0,1301.5,600.5,0.774
1,2,1638.6,542.1,1671.6,587.8,1655.1,564.9,0.766
1,3,975.9,459.1,997.8,472.8,986.8,465.9,0.541
2,0,625.4,581.6,689.9,661.4,657.6,621.5,0.853
2,1,1638.5,542.4,1671.5,588.0,1655.0,565.2,0.792
2,2,974.2,463.1,996.0,475.1,985.1,469.1,0.503
2,3,1269.3,572.2,1336.5,635.0,1302.9,603.6,0.483
2,4,665.9,521.1,685.5,548.5,675.7,534.8,0.191
3,0,1623.2,601.9,1655.2,648.5,1639.2,625.2,0.666
3,1,943.9,508.3,965.5,525.0,954.7,516.6,0.584
3,2,733.0,482.1,767.1,545.1,750.1,513.6,0.579
4,0,1621.0,601.9,1653.1,646.8,1637.1,624.3,0.609
4,1,733.6,482.4,768.2,540.8,750.9,511.6,0.587
4,2,938.8,503.5,963.4,519.2,951.1,511.4,0.569
5,0,733.1,480.7,768.2,540.8,750.6,510.7,0.738
5,1,1616.3,600.9,1648.0,646.0,1632.2,623.4,0.408
5,2,936.5,493.1,958.3,507.0,947.4,500.0,0.407
5,3,936.8,488.4,958.9,506.0,947.9,497.2,0.224
6,0,731.3,477.5,768.1,535.9,749.7,506.7,0.768
6,1,935.9,480.6,957.1,494.7,946.5,487.7,0.514
6,2,1611.5,599.5,1643.6,645.3,1627.5,622.4,0.430
7,0,730.6,474.2,769.1,533.2,749.8,503.7,0.649
7,1,1606.8,599.6,1639.3,645.3,1623.0,622.4,0.407
7,2,934.2,440.2,942.9,470.5,938.5,455.4,0.294
7,3,927.4,439.7,942.9,469.4,935.1,454.5,0.170
7,4,937.1,464.9,955.5,484.4,946.3,474.7,0.169
8,0,1601.9,600.2,1634.6,645.8,1618.2,623.0,0.850
8,1,730.9,470.6,770.8,541.4,750.9,506.0,0.610
8,2,941.2,451.4,957.0,478.2,949.1,464.8,0.413
8,3,940.8,451.2,959.6,483.8,950.2,467.5,0.114
8,4,929.4,450.2,957.4,480.0,943.4,465.1,0.107
9,0,1598.9,601.0,1631.9,646.3,1615.4,623.7,0.705
9,1,733.5,468.0,774.8,542.9,754.2,505.4,0.529
9,2,733.6,468.0,774.3,521.0,754.0,494.5,0.491
9,3,947.8,444.4,955.4,469.8,951.6,457.1,0.445
9,4,948.4,444.5,956.8,473.1,952.6,458.8,0.121
10,0,1597.1,601.8,1628.9,647.0,1613.0,624.4,0.753
10,1,736.3,466.2,778.5,518.9,757.4,492.5,0.578
10,2,736.5,466.1,778.5,541.5,757.5,503.8,0.531
10,3,952.6,440.2,959.3,459.2,956.0,449.7,0.272
10,4,951.6,439.2,959.5,470.0,955.5,454.6,0.114
11,0,1594.9,602.3,1627.7,648.1,1611.3,625.2,0.823
11,1,739.3,465.8,783.2,542.0,761.2,503.9,0.660
11,2,739.6,465.9,783.5,519.7,761.5,492.8,0.520
11,3,954.8,436.9,963.3,457.1,959.1,447.0,0.119
12,0,1595.0,602.5,1627.6,648.6,1611.3,625.6,0.840
12,1,742.4,467.0,788.8,544.0,765.6,505.5,0.701
