frame,t,person_id,lm_idx,lm_name,x_px,y_px,x_world,y_world,z_world,visibility,presence
0,0.0000,0,0,nose,678.77,382.95,0.0669,-0.6502,0.0097,0.999,1.000
0,0.0000,0,1,left_eye_inner,671.78,373.52,0.0428,-0.6642,-0.0209,0.999,1.000
0,0.0000,0,2,left_eye,667.65,372.97,0.0442,-0.6639,-0.0125,0.999,1.000
0,0.0000,0,3,left_eye_outer,663.65,372.57,0.0438,-0.6656,-0.0159,0.999,1.000
0,0.0000,0,4,right_eye_inner,682.47,375.07,0.0840,-0.6782,-0.0471,1.000,1.000
0,0.0000,0,5,right_eye,685.88,375.44,0.0867,-0.6767,-0.0594,1.000,1.000
0,0.0000,0,6,right_eye_outer,689.21,375.62,0.0939,-0.6655,-0.0378,1.000,1.000
0,0.0000,0,7,left_ear,657.27,379.54,-0.0419,-0.6153,-0.1042,0.999,1.000
0,0.0000,0,8,right_ear,692.82,381.79,0.0975,-0.5667,-0.1461,1.000,1.000
0,0.0000,0,9,mouth_left,673.42,393.08,0.0502,-0.6261,0.0029,0.999,1.000
0,0.0000,0,10,mouth_right,683.31,394.42,0.0883,-0.5897,-0.0389,0.999,1.000
0,0.0000,0,11,left_shoulder,620.24,443.30,-0.1029,-0.4487,0.0094,1.000,1.000
0,0.0000,0,12,right_shoulder,701.82,452.78,0.1333,-0.4938,-0.0941,1.000,1.000
0,0.0000,0,13,left_elbow,638.32,527.81,-0.0268,-0.2776,0.1065,0.014,1.000
0,0.0000,0,14,right_elbow,714.05,552.77,0.1739,-0.2006,-0.0518,0.885,1.000
0,0.0000,0,15,left_wrist,694.14,540.63,0.1520,-0.2173,0.3027,0.003,1.000
0,0.0000,0,16,right_wrist,739.39,543.46,0.2342,-0.1942,0.0870,0.774,1.000
0,0.0000,0,17,left_pinky,705.87,547.50,0.1763,-0.2372,0.3500,0.005,1.000
0,0.0000,0,18,right_pinky,747.83,546.33,0.2923,-0.2368,0.0629,0.681,1.000
0,0.0000,0,19,left_index,714.50,544.71,0.1927,-0.2359,0.3475,0.005,1.000
0,0.0000,0,20,right_index,743.74,535.71,0.3041,-0.2923,0.0758,0.645,1.000
0,0.0000,0,21,left_thumb,711.53,531.96,0.1787,-0.2017,0.3074,0.005,1.000
0,0.0000,0,22,right_thumb,739.70,533.74,0.2377,-0.2252,0.0896,0.449,1.000
0,0.0000,0,23,left_hip,641.09,608.61,-0.0742,-0.0010,0.0922,1.000,1.000
0,0.0000,0,24,right_hip,679.60,612.70,0.0759,-0.0056,-0.0936,1.000,1.000
0,0.0000,0,25,left_knee,646.96,704.22,-0.0725,0.3728,0.2708,0.379,1.000
0,0.0000,0,26,right_knee,680.77,723.49,0.0928,0.3360,0.0209,0.948,1.000
0,0.0000,0,27,left_ankle,612.83,806.82,-0.1475,0.6803,0.3849,0.761,1.000
0,0.0000,0,28,right_ankle,670.44,839.52,0.0279,0.7046,0.1140,0.961,1.000
0,0.0000,0,29,left_heel,603.54,826.42,-0.1726,0.7154,0.4087,0.901,1.000
0,0.0000,0,30,right_heel,656.97,861.68,0.0249,0.7362,0.0923,0.914,1.000
0,0.0000,0,31,left_foot_index,643.43,813.05,-0.1047,0.7121,0.4716,0.527,1.000
0,0.0000,0,32,right_foot_index,719.72,851.23,0.1229,0.7225,0.0974,0.778,1.000
1,0.0400,0,0,nose,681.94,382.93,0.0821,-0.6462,0.0216,1.000,1.000
1,0.0400,0,1,left_eye_inner,675.76,373.63,0.0564,-0.6620,-0.0102,0.999,1.000
1,0.0400,0,2,left_eye,672.12,373.25,0.0577,-0.6617,-0.0016,0.999,1.000
1,0.0400,0,3,left_eye_outer,668.80,372.99,0.0573,-0.6635,-0.0047,1.000,1.000
1,0.0400,0,4,right_eye_inner,686.03,375.43,0.0991,-0.6760,-0.0366,1.000,1.000
1,0.0400,0,5,right_eye,689.82,376.09,0.1016,-0.6741,-0.0485,1.000,1.000
1,0.0400,0,6,right_eye_outer,693.48,376.59,0.1087,-0.6626,-0.0271,1.000,1.000
1,0.0400,0,7,left_ear,660.59,379.44,-0.0325,-0.6191,-0.0935,1.000,1.000
1,0.0400,0,8,right_ear,696.79,382.68,0.1074,-0.5672,-0.1381,1.000,1.000
1,0.0400,0,9,mouth_left,677.16,393.21,0.0637,-0.6237,0.0151,0.999,1.000
1,0.0400,0,10,mouth_right,686.80,395.21,0.1015,-0.5861,-0.0264,1.000,1.000
1,0.0400,0,11,left_shoulder,623.27,442.22,-0.1028,-0.4534,0.0215,1.000,1.000
1,0.0400,0,12,right_shoulder,702.28,452.92,0.1433,-0.4943,-0.0846,1.000,1.000
1,0.0400,0,13,left_elbow,633.67,524.61,-0.0351,-0.2953,0.1474,0.014,1.000
1,0.0400,0,14,right_elbow,717.35,551.62,0.1850,-0.1995,-0.0385,0.887,1.000
1,0.0400,0,15,left_wrist,690.59,527.98,0.1471,-0.2636,0.3939,0.003,1.000
