frame,t,person_id,lm_idx,lm_name,x_px,y_px,x_world,y_world,z_world,visibility,presence
0,0.0000,0,0,nose,1376.13,390.48,-0.0789,-0.5834,-0.2542,0.999,1.000
0,0.0000,0,1,left_eye_inner,1380.58,382.00,-0.0467,-0.6003,-0.2750,0.999,1.000
0,0.0000,0,2,left_eye,1383.73,381.33,-0.0450,-0.5998,-0.2645,0.999,1.000
0,0.0000,0,3,left_eye_outer,1386.62,380.56,-0.0461,-0.6009,-0.2668,0.999,1.000
0,0.0000,0,4,right_eye_inner,1377.82,382.23,-0.0498,-0.6102,-0.2597,0.999,1.000
0,0.0000,0,5,right_eye,1378.40,381.96,-0.0496,-0.6102,-0.2736,0.999,1.000
0,0.0000,0,6,right_eye_outer,1379.02,381.48,-0.0455,-0.5963,-0.2513,0.999,1.000
0,0.0000,0,7,left_ear,1401.19,382.31,0.0674,-0.5775,-0.2763,1.000,1.000
0,0.0000,0,8,right_ear,1391.03,382.54,0.0120,-0.5419,-0.1568,0.997,1.000
0,0.0000,0,9,mouth_left,1384.63,397.73,-0.0225,-0.5644,-0.2435,1.000,1.000
0,0.0000,0,10,mouth_right,1380.63,400.09,-0.0411,-0.5362,-0.2367,0.999,1.000
0,0.0000,0,11,left_shoulder,1442.36,431.19,0.1759,-0.4330,-0.2154,1.000,1.000
0,0.0000,0,12,right_shoulder,1372.28,433.20,-0.0336,-0.5035,0.0263,1.000,1.000
0,0.0000,0,13,left_elbow,1448.87,493.71,0.2030,-0.2595,-0.2880,0.993,1.000
0,0.0000,0,14,right_elbow,1363.61,501.40,-0.0899,-0.1998,0.0137,0.116,1.000
0,0.0000,0,15,left_wrist,1414.47,542.58,0.1023,-0.1020,-0.3185,0.994,1.000
0,0.0000,0,16,right_wrist,1338.41,555.23,-0.1857,-0.0374,-0.0995,0.276,1.000
0,0.0000,0,17,left_pinky,1404.62,560.20,0.0758,-0.0736,-0.3436,0.990,1.000
0,0.0000,0,18,right_pinky,1330.21,569.73,-0.1835,-0.0032,-0.1454,0.309,1.000
0,0.0000,0,19,left_index,1399.15,553.84,0.0206,-0.0883,-0.3475,0.990,1.000
0,0.0000,0,20,right_index,1325.74,569.83,-0.1653,-0.0346,-0.1747,0.337,1.000
0,0.0000,0,21,left_thumb,1400.07,548.53,0.0797,-0.0803,-0.3203,0.978,1.000
0,0.0000,0,22,right_thumb,1330.07,564.93,-0.1791,-0.0367,-0.1239,0.298,1.000
0,0.0000,0,23,left_hip,1414.85,562.31,0.0777,0.0111,-0.0242,1.000,1.000
0,0.0000,0,24,right_hip,1369.26,555.87,-0.0753,-0.0137,0.0265,1.000,1.000
0,0.0000,0,25,left_knee,1422.32,633.00,0.0654,0.3632,0.0620,0.934,1.000
0,0.0000,0,26,right_knee,1349.78,621.49,-0.1336,0.2644,0.1013,0.916,1.000
0,0.0000,0,27,left_ankle,1422.24,697.36,0.1312,0.6097,0.3377,0.917,1.000
0,0.0000,0,28,right_ankle,1331.89,711.04,-0.2303,0.5956,0.2393,0.958,1.000
0,0.0000,0,29,left_heel,1425.62,707.46,0.1175,0.6339,0.3677,0.581,1.000
0,0.0000,0,30,right_heel,1337.62,730.41,-0.2438,0.6231,0.2157,0.900,1.000
0,0.0000,0,31,left_foot_index,1401.77,727.80,0.0703,0.6714,0.3337,0.895,1.000
0,0.0000,0,32,right_foot_index,1290.90,722.04,-0.3400,0.6174,0.1764,0.962,1.000
1,0.0400,0,0,nose,1370.71,393.27,-0.1009,-0.6175,-0.2305,0.999,1.000
1,0.0400,0,1,left_eye_inner,1375.91,384.78,-0.0683,-0.6372,-0.2503,0.999,1.000
1,0.0400,0,2,left_eye,1378.68,384.66,-0.0658,-0.6366,-0.2404,0.999,1.000
1,0.0400,0,3,left_eye_outer,1381.28,384.62,-0.0672,-0.6379,-0.2427,0.999,1.000
1,0.0400,0,4,right_eye_inner,1372.63,384.76,-0.0724,-0.6466,-0.2356,0.999,1.000
1,0.0400,0,5,right_eye,1373.13,384.66,-0.0721,-0.6464,-0.2485,0.999,1.000
1,0.0400,0,6,right_eye_outer,1373.63,384.50,-0.0668,-0.6339,-0.2269,0.999,1.000
1,0.0400,0,7,left_ear,1395.51,386.91,0.0478,-0.6140,-0.2512,1.000,1.000
1,0.0400,0,8,right_ear,1385.15,386.04,-0.0058,-0.5746,-0.1308,0.997,1.000
1,0.0400,0,9,mouth_left,1378.82,400.76,-0.0427,-0.6000,-0.2195,1.000,1.000
1,0.0400,0,10,mouth_right,1374.92,402.64,-0.0597,-0.5699,-0.2132,0.999,1.000
1,0.0400,0,11,left_shoulder,1439.54,432.59,0.1696,-0.4671,-0.1882,1.000,1.000
1,0.0400,0,12,right_shoulder,1365.54,436.29,-0.0571,-0.5259,0.0577,1.000,1.000
1,0.0400,0,13,left_elbow,1449.10,495.23,0.2227,-0.2914,-0.2488,0.997,1.000
1,0.0400,0,14,right_elbow,1360.93,496.03,-0.0996,-0.2379,0.0457,0.234,1.000
1,0.0400,0,15,left_wrist,1419.77,544.80,0.1249,-0.1212,-0.2725,0.998,1.000
1,0.0400,0,16,right_wrist,1340.63,548.09,-0.1762,-0.0734,-0.0834,0.612,1.000
1,0.0400,0,17,left_pinky,1413.40,562.70,0.0962,-0.0877,-0.2939,0.997,1.000
1,0.0400,0,18,right_pinky,1331.70,563.34,-0.1704,-0.0393,-0.1332,0.664,1.000
1,0.0400,0,19,left_index,1405.58,556.61,0.0395,-0.1005,-0.2983,0.997,1.000
1,0.0400,0,20,right_index,1330.43,563.21,-0.1520,-0.0711,-0.1637,0.694,1.000
1,0.0400,0,21,left_thumb,1405.04,550.98,0.1026,-0.0977,-0.2733,0.993,1.000
1,0.0400,0,22,right_thumb,1334.59,559.34,-0.1675,-0.0735,-0.1079,0.651,1.000
1,0.0400,0,23,left_hip,1412.79,565.79,0.0860,0.0075,-0.0186,1.000,1.000
1,0.0400,0,24,right_hip,1369.15,561.00,-0.0835,-0.0108,0.0210,1.000,1.000
1,0.0400,0,25,left_knee,1420.09,632.72,0.0836,0.3661,0.0696,0.929,1.000
1,0.0400,0,26,right_knee,1349.72,626.21,-0.1454,0.2541,-0.0116,0.976,1.000
1,0.0400,0,27,left_ankle,1421.03,700.11,0.1487,0.6221,0.3695,0.917,1.000
1,0.0400,0,28,right_ankle,1333.57,712.04,-0.2005,0.5882,0.0888,0.978,1.000
1,0.0400,0,29,left_heel,1423.95,709.27,0.1332,0.6473,0.4013,0.571,1.000
1,0.0400,0,30,right_heel,1337.37,730.57,-0.2092,0.6140,0.0625,0.936,1.000
1,0.0400,0,31,left_foot_index,1404.87,727.82,0.0913,0.6876,0.3747,0.896,1.000
1,0.0400,0,32,right_foot_index,1295.81,727.82,-0.2968,0.6158,0.0200,0.981,1.000
2,0.0800,0,0,nose,1365.14,392.26,-0.1094,-0.6186,-0.2457,1.000,1.000
2,0.0800,0,1,left_eye_inner,1369.84,384.72,-0.0772,-0.6350,-0.2654,0.999,1.000
2,0.0800,0,2,left_eye,1372.90,384.49,-0.0757,-0.6353,-0.2546,1.000,1.000
2,0.0800,0,3,left_eye_outer,1375.73,384.23,-0.0770,-0.6358,-0.2567,1.000,1.000
2,0.0800,0,4,right_eye_inner,1366.42,385.11,-0.0830,-0.6478,-0.2493,0.999,1.000
2,0.0800,0,5,right_eye,1366.84,385.17,-0.0837,-0.6476,-0.2620,0.999,1.000
2,0.0800,0,6,right_eye_outer,1367.29,385.04,-0.0784,-0.6334,-0.2408,0.999,1.000
2,0.0800,0,7,left_ear,1389.55,387.05,0.0422,-0.6135,-0.2564,1.000,1.000
2,0.0800,0,8,right_ear,1379.06,386.64,-0.0228,-0.5827,-0.1382,0.998,1.000
2,0.0800,0,9,mouth_left,1373.65,400.22,-0.0503,-0.6013,-0.2318,1.000,1.000
2,0.0800,0,10,mouth_right,1368.81,400.99,-0.0703,-0.5737,-0.2244,0.999,1.000
2,0.0800,0,11,left_shoulder,1435.30,433.33,0.1661,-0.4681,-0.1808,1.000,1.000
2,0.0800,0,12,right_shoulder,1359.00,438.32,-0.0652,-0.5413,0.0518,1.000,1.000
2,0.0800,0,13,left_elbow,1449.13,494.78,0.2252,-0.3099,-0.1903,0.997,1.000
2,0.0800,0,14,right_elbow,1354.23,496.05,-0.1069,-0.2525,0.0601,0.390,1.000
2,0.0800,0,15,left_wrist,1424.19,549.69,0.1504,-0.1381,-0.1632,0.998,1.000
2,0.0800,0,16,right_wrist,1338.11,547.92,-0.1843,-0.0935,-0.0568,0.799,1.000
2,0.0800,0,17,left_pinky,1417.74,567.97,0.1253,-0.1072,-0.1770,0.995,1.000
2,0.0800,0,18,right_pinky,1327.76,562.83,-0.1776,-0.0644,-0.1061,0.800,1.000
